Algorithm,Deep Sets,Deep Sets STD,GAT,GAT STD,Memnet,Memnet STD,MPNN,MPNN STD,PGN,PGN STD
Activity Selector,66.09,1.67,73.23,1.37,24.10,2.22,80.66,3.16,66.80,1.62
Articulation Points,39.06,4.04,37.76,1.62,1.50,0.61,50.91,2.18,49.53,2.09
Bellman-Ford,51.33,0.85,87.91,1.19,40.04,1.46,92.01,0.28,92.99,0.34
BFS,98.63,0.38,99.04,0.21,43.34,0.04,99.89,0.05,99.63,0.29
Binary Search,47.97,0.88,23.50,3.12,14.37,0.46,36.83,0.26,76.95,0.13
Bridges,32.43,2.65,25.64,6.60,30.26,0.05,72.69,4.78,51.42,7.82
Bubble Sort,50.73,3.24,9.91,1.77,73.58,0.78,5.27,0.60,6.01,1.95
DAG Shortest Paths,73.21,2.42,81.14,1.37,66.15,1.92,96.24,0.56,96.94,0.16
DFS,7.44,0.73,11.78,2.04,13.36,1.61,6.54,0.51,8.71,0.24
Dijkstra,36.12,3.10,58.01,0.79,22.48,2.39,91.50,0.50,83.45,1.75
Find Max. Subarray,12.48,0.39,24.43,0.43,13.05,0.08,20.30,0.49,65.23,2.56
Floyd-Warshall,7.22,0.90,16.66,3.14,14.17,0.13,26.74,1.77,28.76,0.51
Graham Scan,64.71,2.75,77.89,2.70,40.62,2.31,91.04,0.31,56.87,1.61
Heapsort,28.94,12.57,10.35,1.83,68.00,1.57,10.94,0.84,5.27,0.18
Insertion Sort,40.98,4.65,29.52,1.87,71.42,0.86,19.81,2.08,44.37,2.43
Jarvis' March,50.25,0.81,51.51,10.25,22.99,3.87,34.86,12.39,49.19,1.07
KMP Matcher,3.22,0.54,3.03,0.36,1.81,0.00,2.49,0.86,2.00,0.12
LCS Length,50.10,5.25,57.88,1.02,49.84,4.34,53.23,0.36,56.82,0.21
Matrix Chain Order,78.36,3.58,78.19,3.31,81.96,1.03,79.84,1.40,83.91,0.49
Minimum,80.19,2.08,84.20,2.95,86.93,0.11,85.34,0.88,87.71,0.52
MST-Kruskal,60.58,4.71,65.72,0.99,28.84,0.61,70.97,1.50,66.96,1.36
MST-Prim,12.17,5.47,38.20,4.34,10.29,3.77,69.08,7.56,63.33,0.98
Na\"{i}ve String Match,2.05,0.29,3.01,1.20,1.22,0.48,3.92,0.30,2.08,0.20
Optimal BST,69.71,1.36,65.49,1.75,72.03,1.21,62.23,0.44,71.01,1.82
Quickselect,3.21,1.33,4.36,0.95,1.74,0.03,1.43,0.69,3.66,0.42
Quicksort,37.74,2.16,7.60,0.98,73.10,0.67,11.30,0.10,6.17,0.15
Segments Intersect,77.29,0.60,90.41,0.04,71.81,0.90,93.44,0.10,77.51,0.75
SCC,17.81,2.61,12.70,3.12,16.32,4.78,24.37,4.88,20.80,0.64
Task Scheduling,84.84,0.70,84.69,2.09,82.74,0.04,84.11,0.32,84.89,0.91
Topological Sort,15.84,3.57,27.03,6.92,2.73,0.11,52.60,6.24,60.45,2.69
Overall average,43.36,0,44.69,0,38.03,0,51.02,0,52.31,0
