(val) step 0: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 32, 'step': 0}
(val) step 9: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 320, 'step': 9}
(val) step 19: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 640, 'step': 19}
(val) step 29: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 960, 'step': 29}
(val) step 39: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 1280, 'step': 39}
(val) step 49: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 1600, 'step': 49}
(val) step 59: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 1920, 'step': 59}
(val) step 69: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 2240, 'step': 69}
(val) step 79: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 2560, 'step': 79}
(val) step 89: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 2880, 'step': 89}
(val) step 99: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 3200, 'step': 99}
(val) step 109: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 3520, 'step': 109}
(val) step 119: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 3840, 'step': 119}
(val) step 129: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 4160, 'step': 129}
(val) step 139: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 4480, 'step': 139}
(val) step 149: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 4800, 'step': 149}
(val) step 159: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 5120, 'step': 159}
(val) step 169: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 5440, 'step': 169}
(val) step 179: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 5760, 'step': 179}
(val) step 189: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 6080, 'step': 189}
(val) step 199: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 6400, 'step': 199}
(val) step 209: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 6720, 'step': 209}
(val) step 219: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 7040, 'step': 219}
(val) step 229: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 7360, 'step': 229}
(val) step 239: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 7680, 'step': 239}
(val) step 249: {'is_cut': 0.043478257954120636, 'score': 0.043478257954120636, 'examples_seen': 8000, 'step': 249}
(val) step 259: {'is_cut': 0.08510638773441315, 'score': 0.08510638773441315, 'examples_seen': 8320, 'step': 259}
(val) step 269: {'is_cut': 0.0, 'score': 0.0, 'examples_seen': 8640, 'step': 269}
(val) step 279: {'is_cut': 0.08510638773441315, 'score': 0.08510638773441315, 'examples_seen': 8960, 'step': 279}
(val) step 289: {'is_cut': 0.2352941334247589, 'score': 0.2352941334247589, 'examples_seen': 9280, 'step': 289}
(val) step 299: {'is_cut': 0.16326531767845154, 'score': 0.16326531767845154, 'examples_seen': 9600, 'step': 299}
(val) step 309: {'is_cut': 0.3636363744735718, 'score': 0.3636363744735718, 'examples_seen': 9920, 'step': 309}
(val) step 319: {'is_cut': 0.2352941334247589, 'score': 0.2352941334247589, 'examples_seen': 10240, 'step': 319}
(val) step 329: {'is_cut': 0.3636363744735718, 'score': 0.3636363744735718, 'examples_seen': 10560, 'step': 329}
(val) step 339: {'is_cut': 0.2352941334247589, 'score': 0.2352941334247589, 'examples_seen': 10880, 'step': 339}
(val) step 349: {'is_cut': 0.3636363744735718, 'score': 0.3636363744735718, 'examples_seen': 11200, 'step': 349}
(val) step 359: {'is_cut': 0.2352941334247589, 'score': 0.2352941334247589, 'examples_seen': 11520, 'step': 359}
(val) step 369: {'is_cut': 0.5245901942253113, 'score': 0.5245901942253113, 'examples_seen': 11840, 'step': 369}
(val) step 379: {'is_cut': 0.4482758641242981, 'score': 0.4482758641242981, 'examples_seen': 12160, 'step': 379}
(val) step 389: {'is_cut': 0.4482758641242981, 'score': 0.4482758641242981, 'examples_seen': 12480, 'step': 389}
(val) step 399: {'is_cut': 0.7142857313156128, 'score': 0.7142857313156128, 'examples_seen': 12800, 'step': 399}
(val) step 409: {'is_cut': 0.7894736528396606, 'score': 0.7894736528396606, 'examples_seen': 13120, 'step': 409}
(val) step 419: {'is_cut': 0.7733333110809326, 'score': 0.7733333110809326, 'examples_seen': 13440, 'step': 419}
(val) step 429: {'is_cut': 0.7671233415603638, 'score': 0.7671233415603638, 'examples_seen': 13760, 'step': 429}
(val) step 439: {'is_cut': 0.9024390578269958, 'score': 0.9024390578269958, 'examples_seen': 14080, 'step': 439}
(val) step 449: {'is_cut': 0.5396825671195984, 'score': 0.5396825671195984, 'examples_seen': 14400, 'step': 449}
(val) step 459: {'is_cut': 0.6470588445663452, 'score': 0.6470588445663452, 'examples_seen': 14720, 'step': 459}
(val) step 469: {'is_cut': 0.9176470637321472, 'score': 0.9176470637321472, 'examples_seen': 15040, 'step': 469}
(val) step 479: {'is_cut': 0.875, 'score': 0.875, 'examples_seen': 15360, 'step': 479}
(val) step 489: {'is_cut': 0.875, 'score': 0.875, 'examples_seen': 15680, 'step': 489}
(val) step 499: {'is_cut': 0.9156626462936401, 'score': 0.9156626462936401, 'examples_seen': 16000, 'step': 499}
(val) step 509: {'is_cut': 0.8641975522041321, 'score': 0.8641975522041321, 'examples_seen': 16320, 'step': 509}
(val) step 519: {'is_cut': 0.9545454382896423, 'score': 0.9545454382896423, 'examples_seen': 16640, 'step': 519}
(val) step 529: {'is_cut': 0.9425287246704102, 'score': 0.9425287246704102, 'examples_seen': 16960, 'step': 529}
(val) step 539: {'is_cut': 0.6470588445663452, 'score': 0.6470588445663452, 'examples_seen': 17280, 'step': 539}
(val) step 549: {'is_cut': 0.9425287246704102, 'score': 0.9425287246704102, 'examples_seen': 17600, 'step': 549}
(val) step 559: {'is_cut': 0.8607594966888428, 'score': 0.8607594966888428, 'examples_seen': 17920, 'step': 559}
(val) step 569: {'is_cut': 0.9425287246704102, 'score': 0.9425287246704102, 'examples_seen': 18240, 'step': 569}
(val) step 579: {'is_cut': 0.9555555582046509, 'score': 0.9555555582046509, 'examples_seen': 18560, 'step': 579}
(val) step 589: {'is_cut': 0.3636363744735718, 'score': 0.3636363744735718, 'examples_seen': 18880, 'step': 589}
(val) step 599: {'is_cut': 0.891566276550293, 'score': 0.891566276550293, 'examples_seen': 19200, 'step': 599}
(val) step 609: {'is_cut': 0.9555555582046509, 'score': 0.9555555582046509, 'examples_seen': 19520, 'step': 609}
